1745369764.902943 server started (52921): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1745369764.902976 on Linux 6.14.2-300.fc42.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Apr 10 21:50:55 UTC 2025
1745369764.902993 using libevent 2.1.12-stable poll
1745369764.902999 using ncurses 6.5 20240629
1745369764.903096 input_key_build: 0x10e003 (PasteStart) is \033[200~
1745369764.903109 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1745369764.903136 input_key_build: 0x10e195 (F1) is \033OP
1745369764.903142 input_key_build: 0x10e196 (F2) is \033OQ
1745369764.903147 input_key_build: 0x10e197 (F3) is \033OR
1745369764.903154 input_key_build: 0x10e198 (F4) is \033OS
1745369764.903158 input_key_build: 0x10e199 (F5) is \033[15~
1745369764.903163 input_key_build: 0x10e19a (F6) is \033[17~
1745369764.903167 input_key_build: 0x10e19b (F7) is \033[18~
1745369764.903173 input_key_build: 0x10e19c (F8) is \033[19~
1745369764.903177 input_key_build: 0x10e19d (F9) is \033[20~
1745369764.903182 input_key_build: 0x10e19e (F10) is \033[21~
1745369764.903186 input_key_build: 0x10e19f (F11) is \033[23~
1745369764.903191 input_key_build: 0x10e1a0 (F12) is \033[24~
1745369764.903197 input_key_build: 0x10e1a1 (IC) is \033[2~
1745369764.903202 input_key_build: 0x10e1a2 (DC) is \033[3~
1745369764.903210 input_key_build: 0x10e1a3 (Home) is \033[1~
1745369764.903216 input_key_build: 0x10e1a4 (End) is \033[4~
1745369764.903221 input_key_build: 0x10e1a5 (NPage) is \033[6~
1745369764.903225 input_key_build: 0x10e1a6 (PPage) is \033[5~
1745369764.903230 input_key_build: 0x10e1a7 (BTab) is \033[Z
1745369764.903235 input_key_build: 0x10e1a8 (Up) is \033[A
1745369764.903240 input_key_build: 0x10e1a9 (Down) is \033[B
1745369764.903245 input_key_build: 0x10e1aa (Left) is \033[D
1745369764.903250 input_key_build: 0x10e1ab (Right) is \033[C
1745369764.903254 input_key_build: 0x10e1ac (KP/) is /
1745369764.903259 input_key_build: 0x10e1ad (KP*) is *
1745369764.903264 input_key_build: 0x10e1ae (KP-) is -
1745369764.903269 input_key_build: 0x10e1af (KP7) is 7
1745369764.903273 input_key_build: 0x10e1b0 (KP8) is 8
1745369764.903278 input_key_build: 0x10e1b1 (KP9) is 9
1745369764.903283 input_key_build: 0x10e1b2 (KP+) is +
1745369764.903287 input_key_build: 0x10e1b3 (KP4) is 4
1745369764.903292 input_key_build: 0x10e1b4 (KP5) is 5
1745369764.903297 input_key_build: 0x10e1b5 (KP6) is 6
1745369764.903302 input_key_build: 0x10e1b6 (KP1) is 1
1745369764.903306 input_key_build: 0x10e1b7 (KP2) is 2
